Instrument Name,DustTrak DRX
Model Number,8533
Serial Number,8533172802
Firmware Version,3.9
Calibration Date,07/29/2020
Test Name,MANUAL_052
Test Start Time,01:21:17 PM
Test Start Date,04/11/2021
Test Length [D:H:M],0:9:50
Test Interval [M:S],0:1
PM1 Average [mg/m3],0.145
PM1 Minimum [mg/m3],0.005
PM1 Maximum [mg/m3],12.9
PM1 TWA [mg/m3],0.000
PM2.5 Average [mg/m3],0.145
PM2.5 Minimum [mg/m3],0.005
PM2.5 Maximum [mg/m3],13.1
PM2.5 TWA [mg/m3],0.000
PM4 Average [mg/m3],0.146
PM4 Minimum [mg/m3],0.005
PM4 Maximum [mg/m3],13.1
PM4 TWA [mg/m3],0.000
PM10 Average [mg/m3],0.147
PM10 Minimum [mg/m3],0.005
PM10 Maximum [mg/m3],13.1
PM10 TWA [mg/m3],0.000
TOTAL Average [mg/m3],0.147
TOTAL Minimum [mg/m3],0.005
TOTAL Maximum [mg/m3],13.1
TOTAL TWA [mg/m3],0.000
Photometric User Cal,1.00
Size Correction User Cal,1.00
Flow User Cal,0.00
Errors,Flow Error
Number of Samples,35426

Elapsed Time [s],PM1 [mg/m3],PM2.5 [mg/m3],PM4 [mg/m3],PM10 [mg/m3],TOTAL [mg/m3],Alarms,Errors
1,0.008,0.008,0.008,0.008,0.008,,
2,0.008,0.008,0.008,0.008,0.008,,
3,0.009,0.010,0.010,0.013,0.013,,
4,0.007,0.008,0.008,0.010,0.010,,
5,0.009,0.009,0.009,0.009,0.009,,
6,0.009,0.009,0.009,0.009,0.009,,
7,0.008,0.009,0.009,0.009,0.009,,
8,0.008,0.008,0.008,0.008,0.008,,
9,0.009,0.010,0.010,0.010,0.010,,
10,0.009,0.010,0.010,0.011,0.011,,
11,0.009,0.009,0.009,0.010,0.010,,
12,0.010,0.011,0.011,0.011,0.011,,
13,0.010,0.011,0.012,0.012,0.012,,
14,0.010,0.010,0.010,0.010,0.010,,
15,0.011,0.011,0.011,0.011,0.011,,
16,0.010,0.011,0.011,0.011,0.011,,
17,0.010,0.011,0.011,0.011,0.011,,
18,0.011,0.012,0.012,0.013,0.013,,
19,0.010,0.011,0.012,0.012,0.012,,
20,0.010,0.011,0.011,0.011,0.011,,
21,0.010,0.010,0.010,0.010,0.010,,
22,0.011,0.011,0.011,0.011,0.011,,
23,0.010,0.011,0.011,0.011,0.011,,
24,0.010,0.010,0.010,0.011,0.011,,
25,0.011,0.011,0.011,0.013,0.013,,
26,0.011,0.011,0.011,0.012,0.012,,
27,0.011,0.011,0.012,0.012,0.012,,
28,0.011,0.012,0.012,0.012,0.012,,
29,0.012,0.012,0.013,0.013,0.013,,
30,0.011,0.011,0.012,0.012,0.012,,
31,0.011,0.012,0.012,0.012,0.012,,
32,0.011,0.012,0.012,0.012,0.012,,
33,0.011,0.012,0.012,0.014,0.014,,
34,0.011,0.011,0.012,0.012,0.012,,
35,0.011,0.011,0.012,0.012,0.012,,
36,0.011,0.011,0.012,0.012,0.012,,
37,0.011,0.012,0.012,0.012,0.012,,
38,0.011,0.012,0.012,0.012,0.012,,
39,0.011,0.011,0.011,0.011,0.011,,
