MiniDeviceId,DeviceTimeStamp,Latitude,Longitude,TempC,Humidity,PM1,PM25,PM10,CO,VBat
D0FAD9A6BBF3,2021-04-11 04:46:34.000,42.37997437,-71.09897614,23.06,38.75,5.04,7.97,10.92,0.11,4.308
D0FAD9A6BBF3,2021-04-11 04:46:55.000,42.38000488,-71.09896851,23.36,38.78,2.3,2.62,2.96,0.42,4.301
D0FAD9A6BBF3,2021-04-11 04:47:16.000,42.37997055,-71.09901428,23.44,38.54,2.87,2.98,3.14,0.27,4.302
D0FAD9A6BBF3,2021-04-11 04:47:28.000,42.38000488,-71.09900665,23.41,38.47,4.33,6.33,8.36,0.02,4.307
D0FAD9A6BBF3,2021-04-11 04:47:49.000,42.37999725,-71.09902954,23.57,38.36,2.91,4.62,6.34,0.13,4.308
D0FAD9A6BBF3,2021-04-11 04:48:10.000,42.37993622,-71.09897614,23.7,38.1,3.55,5.53,7.53,-0.01,4.304
D0FAD9A6BBF3,2021-04-11 04:48:31.000,42.37994385,-71.09899139,23.7,38.23,2.34,2.43,2.56,0.2,4.302
D0FAD9A6BBF3,2021-04-11 04:48:52.000,42.37993622,-71.09896851,23.57,37.77,4.22,5.03,5.88,0.07,4.317
D0FAD9A6BBF3,2021-04-11 04:49:13.000,42.37993622,-71.09894562,23.7,37.71,1.85,3.35,4.85,0.14,4.313
D0FAD9A6BBF3,2021-04-11 04:49:34.000,42.37988663,-71.09898376,23.7,38.36,1.72,2.28,2.85,0.26,4.305
D0FAD9A6BBF3,2021-04-11 04:49:55.000,42.37986755,-71.0990448,23.83,39.78,3.33,7.48,11.63,0.41,4.307
D0FAD9A6BBF3,2021-04-11 04:50:16.000,42.37994766,-71.09901428,23.7,38.32,2.21,2.78,3.36,0.24,4.31
D0FAD9A6BBF3,2021-04-11 04:50:37.000,42.38000488,-71.09896851,24.01,38.84,6.3,10.23,14.18,0.87,4.305
D0FAD9A6BBF3,2021-04-11 04:50:58.000,42.37992096,-71.09907532,24.01,39.29,6.34,11.47,16.61,0.66,4.301
D0FAD9A6BBF3,2021-04-11 04:51:19.000,42.37996292,-71.0990448,23.81,39.12,1.79,2.15,2.53,0.38,4.31
D0FAD9A6BBF3,2021-04-11 04:51:40.000,42.37996292,-71.09902954,23.98,39.2,2.93,3.33,3.75,0.42,4.31
D0FAD9A6BBF3,2021-04-11 04:52:01.000,42.37991333,-71.09909058,23.94,39.06,3.21,4.23,5.28,0.38,4.311
D0FAD9A6BBF3,2021-04-11 04:52:22.000,42.37992096,-71.09907532,24.2,38.97,3.16,5.47,7.79,0.55,4.32
D0FAD9A6BBF3,2021-04-11 04:52:43.000,42.3799057,-71.09908295,24.13,37.23,3.79,6.45,9.12,0.39,4.317
D0FAD9A6BBF3,2021-04-11 04:53:04.000,42.3799057,-71.09909821,24.29,36.45,5.13,9.15,13.19,0.68,4.317
D0FAD9A6BBF3,2021-04-11 04:53:25.000,42.37990952,-71.0990448,24.38,35.73,2.45,3.62,4.79,0.57,4.308
D0FAD9A6BBF3,2021-04-11 04:53:46.000,42.37990189,-71.09906769,24.31,35.21,2.62,4.16,5.72,0.96,4.32
D0FAD9A6BBF3,2021-04-11 04:54:07.000,42.3799057,-71.0990448,24.34,35.27,6.53,11.12,15.74,1.06,4.313
D0FAD9A6BBF3,2021-04-11 04:54:28.000,42.37992477,-71.09903717,24.19,35.55,2.44,2.82,3.23,0.36,4.308
D0FAD9A6BBF3,2021-04-11 04:54:49.000,42.37993622,-71.09901428,24.44,35.78,3.55,4.86,6.19,0.62,4.308
D0FAD9A6BBF3,2021-04-11 04:55:10.000,42.37991714,-71.09906769,24.21,36.02,2.29,2.9,3.54,0.61,4.313
D0FAD9A6BBF3,2021-04-11 04:55:31.000,42.37992477,-71.09910583,24.38,35.92,3.45,3.6,3.78,0.63,4.311
D0FAD9A6BBF3,2021-04-11 04:55:52.000,42.37992477,-71.09907532,24.42,35.99,1.65,2.23,2.83,0.99,4.31
D0FAD9A6BBF3,2021-04-11 04:56:13.000,42.37989807,-71.09903717,24.45,36.34,2.31,3.24,4.18,0.61,4.316
D0FAD9A6BBF3,2021-04-11 04:56:34.000,42.37992477,-71.09903717,24.38,36.35,3.1,4.82,6.56,0.87,4.319
D0FAD9A6BBF3,2021-04-11 04:56:55.000,42.37995529,-71.09899139,24.57,35.84,3.28,3.87,4.49,0.69,4.319
D0FAD9A6BBF3,2021-04-11 04:57:16.000,42.37988663,-71.09905243,24.57,35.71,2.22,2.46,2.72,0.91,4.319
D0FAD9A6BBF3,2021-04-11 04:57:37.000,42.3799057,-71.09903717,24.38,35.79,1.93,2.01,2.11,0.66,4.32
D0FAD9A6BBF3,2021-04-11 04:57:58.000,42.37992096,-71.09902191,24.58,36.02,3.14,5.9,8.66,0.84,4.341
D0FAD9A6BBF3,2021-04-11 04:58:19.000,42.37991714,-71.09902954,24.7,35.92,5.59,5.82,6.12,0.85,4.323
D0FAD9A6BBF3,2021-04-11 04:58:40.000,42.37992477,-71.09900665,24.7,36.19,3.09,3.69,4.32,1.04,4.331
D0FAD9A6BBF3,2021-04-11 04:58:58.000,42.37992477,-71.09903717,24.38,36.95,1.81,1.88,1.98,0.55,4.319
D0FAD9A6BBF3,2021-04-11 04:59:19.000,42.37995148,-71.09902191,24.44,36.72,1.3,1.62,1.96,0.87,4.325
D0FAD9A6BBF3,2021-04-11 04:59:40.000,42.37996292,-71.09899139,24.57,36.93,2.37,3.2,4.05,1.06,4.325
D0FAD9A6BBF3,2021-04-11 05:00:02.000,42.37996292,-71.09899139,24.59,35.67,1.97,2.37,2.79,0.36,4.325
D0FAD9A6BBF3,2021-04-11 05:00:23.000,42.37992859,-71.09901428,24.57,35.69,2.55,4.23,5.93,1.28,4.325
D0FAD9A6BBF3,2021-04-11 05:00:44.000,42.37995911,-71.09898376,24.7,35.5,3.53,4.42,5.35,0.59,4.323
D0FAD9A6BBF3,2021-04-11 05:01:05.000,42.37995911,-71.0989151,24.63,34.89,3.25,4.99,6.74,0.74,4.338
D0FAD9A6BBF3,2021-04-11 05:01:26.000,42.37996292,-71.09888458,24.7,34.64,2.42,2.9,3.4,0.75,4.334
D0FAD9A6BBF3,2021-04-11 05:01:47.000,42.37994385,-71.09889984,24.57,34.95,3.97,4.25,4.56,1.24,4.334
D0FAD9A6BBF3,2021-04-11 05:02:08.000,42.37992477,-71.0989151,24.57,35.49,5.15,5.37,5.64,0.96,4.329
D0FAD9A6BBF3,2021-04-11 05:02:29.000,42.37991714,-71.09894562,24.7,36.36,2.44,3.48,4.54,0.99,4.338
D0FAD9A6BBF3,2021-04-11 05:02:50.000,42.37989044,-71.09898376,24.76,36.87,3.63,5.43,7.26,1.18,4.328
D0FAD9A6BBF3,2021-04-11 05:03:11.000,42.379879,-71.09902954,24.57,36.5,3.05,3.81,4.59,0.99,4.331
D0FAD9A6BBF3,2021-04-11 05:03:32.000,42.379879,-71.09903717,24.7,35.93,4.31,4.49,4.72,1.22,4.344
D0FAD9A6BBF3,2021-04-11 05:03:53.000,42.37988663,-71.09902954,24.6,36.27,1.63,1.7,1.79,0.88,4.331
D0FAD9A6BBF3,2021-04-11 05:04:14.000,42.37986374,-71.09903717,24.76,36.37,2.39,2.83,3.28,0.7,4.328
D0FAD9A6BBF3,2021-04-11 05:04:56.000,42.37982559,-71.09911346,24.6,36.53,3.06,3.59,4.15,1.06,4.331
D0FAD9A6BBF3,2021-04-11 05:05:17.000,42.37982941,-71.09909821,24.87,36.52,4.21,5.04,5.91,1.03,4.344
D0FAD9A6BBF3,2021-04-11 05:05:38.000,42.37986755,-71.09907532,24.86,36.33,3.59,5.26,6.95,0.57,4.329
D0FAD9A6BBF3,2021-04-11 05:05:59.000,42.379879,-71.09906006,24.84,35.82,1.78,1.89,2.02,1.02,4.34
D0FAD9A6BBF3,2021-04-11 05:06:20.000,42.37986374,-71.09907532,24.94,36.28,2.95,4.06,5.2,1.23,4.337
D0FAD9A6BBF3,2021-04-11 05:06:41.000,42.37985992,-71.09906006,24.93,36.08,1.85,2.29,2.75,0.66,4.34
D0FAD9A6BBF3,2021-04-11 05:07:02.000,42.37985611,-71.09908295,24.85,35.54,4.3,6.28,8.29,0.7,4.337
D0FAD9A6BBF3,2021-04-11 05:07:23.000,42.37986755,-71.09907532,24.87,36.27,2.64,4.34,6.05,0.87,4.341
D0FAD9A6BBF3,2021-04-11 05:07:44.000,42.37989807,-71.09901428,24.93,35.84,4.32,7.03,9.75,1.11,4.34
D0FAD9A6BBF3,2021-04-11 05:08:05.000,42.37989426,-71.09899139,24.94,35.94,2.24,2.68,3.14,1.38,4.346
D0FAD9A6BBF3,2021-04-11 05:08:26.000,42.37990189,-71.09897614,24.94,35.84,5.41,7.24,9.12,0.91,4.341
D0FAD9A6BBF3,2021-04-11 05:08:47.000,42.3799057,-71.09896851,24.97,36.06,2.32,2.41,2.54,0.94,4.352
D0FAD9A6BBF3,2021-04-11 05:09:08.000,42.37987137,-71.09902954,24.94,35.66,3.32,5.26,7.21,1.03,4.337
D0FAD9A6BBF3,2021-04-11 05:09:29.000,42.37985229,-71.09906769,25.17,35.93,2.86,2.98,3.13,1.35,4.35
D0FAD9A6BBF3,2021-04-11 05:09:50.000,42.37984848,-71.09907532,25.06,35.55,2.87,3.28,3.72,0.91,4.335
D0FAD9A6BBF3,2021-04-11 05:10:11.000,42.37984085,-71.09906769,25.13,35.43,3.39,3.54,3.72,1.41,4.347
D0FAD9A6BBF3,2021-04-11 05:10:32.000,42.37984467,-71.0990448,25.11,35.71,4.8,6.92,9.06,1.23,4.344
D0FAD9A6BBF3,2021-04-11 05:10:53.000,42.37984848,-71.09906006,25.07,35.54,1.64,1.71,1.79,1.21,4.356
D0FAD9A6BBF3,2021-04-11 05:11:14.000,42.37985992,-71.09903717,25.2,35.57,3.5,4.42,5.37,1.18,4.352
D0FAD9A6BBF3,2021-04-11 05:11:35.000,42.37985992,-71.09903717,25.07,35.28,2.94,3.73,4.54,0.94,4.344
D0FAD9A6BBF3,2021-04-11 05:11:56.000,42.37986374,-71.09902191,25.21,35.86,2.3,2.4,2.52,1.37,4.343
D0FAD9A6BBF3,2021-04-11 05:12:17.000,42.37987137,-71.09900665,25.2,35.65,3.82,7.28,10.74,1,4.347
D0FAD9A6BBF3,2021-04-11 05:12:38.000,42.37988281,-71.09899139,25.33,35.58,4.17,5.79,7.44,1.33,4.347
D0FAD9A6BBF3,2021-04-11 05:12:59.000,42.379879,-71.09899139,25.2,35.74,6.34,9.53,12.76,1.13,4.34
D0FAD9A6BBF3,2021-04-11 05:13:20.000,42.37988281,-71.09899902,25.26,35.53,4.29,5.38,6.51,1.4,4.353
D0FAD9A6BBF3,2021-04-11 05:13:41.000,42.37988663,-71.09901428,25.33,35.31,2.98,3.92,4.88,1.38,4.353
D0FAD9A6BBF3,2021-04-11 05:14:02.000,42.37989426,-71.09905243,25.22,35.36,4.84,6.39,7.97,1.13,4.337
D0FAD9A6BBF3,2021-04-11 05:14:23.000,42.37989426,-71.09902954,25.38,35.51,3.54,5.33,7.14,1.56,4.347
D0FAD9A6BBF3,2021-04-11 05:14:44.000,42.37989807,-71.09903717,25.34,35.19,2.17,3.32,4.47,0.9,4.349
D0FAD9A6BBF3,2021-04-11 05:15:05.000,42.37990952,-71.09902954,25.31,35.41,2.33,3.64,4.97,1.47,4.359
D0FAD9A6BBF3,2021-04-11 05:15:26.000,42.37989807,-71.09898376,25.33,35.31,3.61,3.76,3.95,1.31,4.355
D0FAD9A6BBF3,2021-04-11 05:15:47.000,42.3799057,-71.09895325,25.33,35.25,1.99,2.71,3.45,1.55,4.358
D0FAD9A6BBF3,2021-04-11 05:16:08.000,42.37990952,-71.09892273,25.33,35.89,4.31,6.09,7.89,5.02,4.352
D0FAD9A6BBF3,2021-04-11 05:16:29.000,42.37997437,-71.09901428,25.33,35.89,2.52,4.22,5.94,1.68,4.337
D0FAD9A6BBF3,2021-04-11 05:16:50.000,42.37982559,-71.09910583,25.17,35.94,1.66,2.2,2.75,0.76,4.343
D0FAD9A6BBF3,2021-04-11 05:17:11.000,42.37976456,-71.0991745,25.35,35.45,3.92,5.36,6.84,-0.33,4.361
D0FAD9A6BBF3,2021-04-11 05:17:32.000,42.37979507,-71.09915924,25.33,35.71,3.5,3.95,4.42,0.83,4.356
D0FAD9A6BBF3,2021-04-11 05:17:53.000,42.37981033,-71.09909058,25.36,35.59,5.44,8.98,12.53,0.68,4.367
D0FAD9A6BBF3,2021-04-11 05:18:14.000,42.37984467,-71.09909821,25.34,35.75,3.45,4.78,6.14,-0.09,4.368
D0FAD9A6BBF3,2021-04-11 05:18:35.000,42.37982941,-71.09907532,25.38,35.05,5.83,10.34,14.86,0.36,4.365
D0FAD9A6BBF3,2021-04-11 05:18:56.000,42.37984467,-71.09903717,25.38,35.12,2.47,3.35,4.26,0.17,4.377
D0FAD9A6BBF3,2021-04-11 05:19:17.000,42.37981796,-71.09890747,25.45,35.01,2.17,2.27,2.38,0.08,4.353
D0FAD9A6BBF3,2021-04-11 05:19:38.000,42.37979126,-71.09889221,25.35,35.16,4.12,4.29,4.51,0.12,4.355
D0FAD9A6BBF3,2021-04-11 05:19:59.000,42.3797493,-71.09918976,25.42,34.99,5.31,6.47,7.67,0.4,4.367
D0FAD9A6BBF3,2021-04-11 05:20:20.000,42.37988281,-71.09909821,25.58,35.27,3.24,3.37,3.54,0.22,4.361
D0FAD9A6BBF3,2021-04-11 05:20:41.000,42.37989807,-71.09906769,25.34,35.03,3.48,3.62,3.81,0.44,4.358
D0FAD9A6BBF3,2021-04-11 05:21:02.000,42.37985992,-71.09897614,25.44,34.99,2.38,3.75,5.13,0.28,4.373
D0FAD9A6BBF3,2021-04-11 05:21:23.000,42.37986755,-71.09896088,25.4,35.2,3.05,4.36,5.69,0.55,4.374
D0FAD9A6BBF3,2021-04-11 05:21:44.000,42.37991333,-71.09890747,25.45,35.24,2.46,2.88,3.33,0.39,4.361
D0FAD9A6BBF3,2021-04-11 05:22:05.000,42.37992477,-71.09880066,25.43,35.2,5.95,6.37,6.86,0.65,4.371
D0FAD9A6BBF3,2021-04-11 05:22:26.000,42.37990189,-71.09886169,25.29,40.22,7.21,10.84,14.51,0.99,4.37
D0FAD9A6BBF3,2021-04-11 05:22:47.000,42.3799324,-71.09894562,25.26,37.75,2.38,3.57,4.78,0.64,3.898
D0FAD9A6BBF3,2021-04-11 05:23:07.000,42.37989426,-71.09895325,25.04,36.01,3.52,3.67,3.85,1.01,3.895
D0FAD9A6BBF3,2021-04-11 05:23:28.000,42.37988663,-71.09896851,24.63,36.43,5.49,7.77,10.09,1.11,3.884
D0FAD9A6BBF3,2021-04-11 05:23:49.000,42.37988663,-71.09898376,24.44,37.15,2.33,2.85,3.39,1.66,3.878
D0FAD9A6BBF3,2021-04-11 05:24:11.000,42.37989426,-71.09900665,24.2,37.25,2.62,3.33,4.06,0.95,3.866
D0FAD9A6BBF3,2021-04-11 05:24:32.000,42.379879,-71.09899902,23.97,37.63,3.69,5.83,7.99,1.09,3.868
D0FAD9A6BBF3,2021-04-11 05:24:53.000,42.37991714,-71.09896851,23.87,38.18,4.69,10.92,17.13,1.03,3.875
