MiniDeviceId,DeviceTimeStamp,Latitude,Longitude,TempC,Humidity,PM1,PM25,PM10,CO,VBat
E8F2914199DC,2021-04-15 10:40:38.000,42.37981796,-71.09919739,19.96,56.4,30.99,33.37,33.95,6.8,3.857
E8F2914199DC,2021-04-15 10:40:59.000,42.37982559,-71.09915161,19.93,53.92,29.1,31.22,31.65,5.21,3.85
E8F2914199DC,2021-04-15 10:41:20.000,42.37988663,-71.09912109,20.19,54.76,30.2,32.49,33.02,5.14,3.842
E8F2914199DC,2021-04-15 10:41:41.000,42.37989044,-71.09910583,20.06,52.91,28.73,30.38,30.38,4.34,4.07
E8F2914199DC,2021-04-15 10:42:02.000,42.37995148,-71.09907532,20.04,52.24,28.41,30.04,30.04,4.33,4.079
E8F2914199DC,2021-04-15 10:42:23.000,42.37995529,-71.09907532,20.19,52.1,27.38,28.96,28.96,4.73,4.076
E8F2914199DC,2021-04-15 10:42:44.000,42.37989807,-71.09906769,20.19,51.4,25.74,27.22,27.22,4.44,4.081
E8F2914199DC,2021-04-15 10:43:05.000,42.37994003,-71.09903717,20.34,51.05,25.89,27.37,27.37,4.11,4.088
E8F2914199DC,2021-04-15 10:43:26.000,42.37992477,-71.09899139,20.19,50.51,26.36,27.87,27.87,4.25,4.085
E8F2914199DC,2021-04-15 10:43:36.000,42.37992477,-71.09899139,20.25,51.62,22.5,23.79,23.79,4.72,4.106
E8F2914199DC,2021-04-15 10:43:57.000,42.37994003,-71.09902191,20.37,49.4,24.78,26.53,26.85,3.28,4.091
E8F2914199DC,2021-04-15 10:44:18.000,42.37997055,-71.09898376,20.3,49.23,24.99,28.02,29.56,3.92,4.102
E8F2914199DC,2021-04-15 10:44:39.000,42.3799324,-71.09900665,20.28,49.93,16.66,19.09,20.53,3.79,4.106
E8F2914199DC,2021-04-15 10:45:00.000,42.37990189,-71.09906769,20.3,48.36,25.98,27.47,27.47,3.11,4.11
E8F2914199DC,2021-04-15 10:45:21.000,42.37989807,-71.09907532,20.31,50.09,21.79,23.04,23.04,4.43,4.104
E8F2914199DC,2021-04-15 10:45:42.000,42.37994003,-71.09906006,20.25,48.5,22.97,24.29,24.29,4.15,4.11
E8F2914199DC,2021-04-15 10:46:03.000,42.37992096,-71.09911346,20.3,48.54,19.47,20.59,20.59,3.41,4.109
E8F2914199DC,2021-04-15 10:46:24.000,42.37989807,-71.09912872,20.19,48.54,24.22,25.62,25.62,3.51,4.107
E8F2914199DC,2021-04-15 10:46:45.000,42.37992477,-71.09911346,20.37,48.99,20.74,21.93,21.93,3.32,4.112
