MiniDeviceId,DeviceTimeStamp,Latitude,Longitude,TempC,Humidity,PM1,PM25,PM10,CO,VBat
C18F9A6F7FD8,2021-04-15 10:42:48.000,42.379879,-71.09914398,20.26,53.5,26.41,27.93,27.93,-4.06,3.889
C18F9A6F7FD8,2021-04-15 10:43:09.000,42.37988663,-71.09912109,20.13,49.84,19.99,21.14,21.14,-4.63,3.89
C18F9A6F7FD8,2021-04-15 10:43:30.000,42.37986755,-71.09912109,20.2,50.49,28.26,31.84,33.73,-3.98,3.892
C18F9A6F7FD8,2021-04-15 10:43:40.000,42.37988663,-71.09907532,20.25,50.17,20.2,21.36,21.36,-4.2,3.884
C18F9A6F7FD8,2021-04-15 10:44:01.000,42.37983704,-71.09912872,20.24,49.13,21.55,22.79,22.79,-4.37,3.889
C18F9A6F7FD8,2021-04-15 10:44:22.000,42.37984848,-71.09912872,20.07,50.08,21.02,25.4,28.48,-3.53,3.887
C18F9A6F7FD8,2021-04-15 10:44:43.000,42.37985611,-71.09912872,20.04,50.05,26.22,27.73,27.73,-3.4,3.887
C18F9A6F7FD8,2021-04-15 10:45:04.000,42.37986374,-71.09911346,20.02,49.14,24.32,25.72,25.72,-3.81,3.88
C18F9A6F7FD8,2021-04-15 10:45:25.000,42.37988663,-71.09903717,20.02,49.4,20.34,21.65,21.79,-3.46,3.878
C18F9A6F7FD8,2021-04-15 10:45:46.000,42.37987518,-71.09903717,20.02,49.25,19.5,20.63,20.63,-3.43,3.877
C18F9A6F7FD8,2021-04-15 10:46:07.000,42.37986755,-71.09906006,20.02,49.11,20.1,21.59,21.91,-3.32,3.875
C18F9A6F7FD8,2021-04-15 10:46:28.000,42.379879,-71.09902191,19.89,49.22,21.73,22.98,22.98,-3.04,3.877
C18F9A6F7FD8,2021-04-15 10:46:49.000,42.37987518,-71.09902954,19.82,49.33,20.73,22.84,23.73,-3.5,3.878
C18F9A6F7FD8,2021-04-15 10:47:10.000,42.37988281,-71.09906769,19.89,48.97,22.9,25.55,26.85,-3.37,3.89
C18F9A6F7FD8,2021-04-15 10:47:31.000,42.37988663,-71.09906769,20.02,50.22,21.09,22.3,22.3,-3.3,3.872
C18F9A6F7FD8,2021-04-15 10:47:52.000,42.37989807,-71.0990448,20.02,50.57,24.06,25.44,25.44,-3.08,3.874
C18F9A6F7FD8,2021-04-15 10:48:13.000,42.37990952,-71.09902954,19.89,50.41,24.01,26.16,26.91,-2.5,3.883
C18F9A6F7FD8,2021-04-15 10:48:34.000,42.37989044,-71.09903717,19.89,50,23.73,25.88,26.64,-3.5,3.878
C18F9A6F7FD8,2021-04-15 10:48:55.000,42.37989044,-71.09903717,19.89,49.69,22.91,24.23,24.23,-3.04,3.878
C18F9A6F7FD8,2021-04-15 10:49:16.000,42.3799057,-71.09903717,19.51,46.54,18.73,22.75,25.61,-4.7,3.881
