Elapsed Time [s],PM1 [mg/m3],PM2.5 [mg/m3],PM4 [mg/m3],PM10 [mg/m3],TOTAL [mg/m3],Alarms,Errors
1,0.019,0.021,0.021,0.021,0.021,,
2,0.020,0.022,0.022,0.023,0.023,,
3,0.021,0.022,0.022,0.028,0.028,,
4,0.019,0.020,0.020,0.023,0.023,,
5,0.019,0.020,0.020,0.020,0.020,,
6,0.019,0.020,0.020,0.026,0.026,,
7,0.019,0.020,0.020,0.023,0.023,,
8,0.019,0.020,0.021,0.021,0.021,,
9,0.019,0.020,0.020,0.020,0.020,,
10,0.018,0.020,0.020,0.021,0.021,,
11,0.019,0.021,0.021,0.021,0.021,,
12,0.019,0.021,0.021,0.021,0.021,,
13,0.019,0.020,0.021,0.021,0.021,,
14,0.019,0.020,0.021,0.021,0.021,,
15,0.019,0.021,0.022,0.022,0.022,,
16,0.020,0.021,0.022,0.022,0.022,,
17,0.019,0.021,0.022,0.022,0.022,,
18,0.020,0.021,0.021,0.021,0.021,,
19,0.020,0.021,0.022,0.022,0.022,,
20,0.020,0.022,0.022,0.022,0.022,,
21,0.020,0.021,0.022,0.022,0.022,,
22,0.019,0.020,0.020,0.023,0.023,,
23,0.017,0.018,0.018,0.020,0.020,,
24,0.018,0.019,0.020,0.021,0.021,,
25,0.018,0.019,0.020,0.021,0.021,,
26,0.020,0.021,0.021,0.021,0.021,,
27,0.020,0.021,0.021,0.021,0.021,,
28,0.020,0.021,0.021,0.021,0.021,,
29,0.019,0.021,0.021,0.021,0.021,,
30,0.019,0.020,0.020,0.020,0.020,,
31,0.019,0.020,0.020,0.020,0.020,,
32,0.020,0.021,0.021,0.021,0.021,,
33,0.019,0.021,0.021,0.021,0.021,,
34,0.019,0.020,0.020,0.020,0.020,,
35,0.018,0.020,0.020,0.021,0.021,,
36,0.018,0.019,0.020,0.020,0.020,,
37,0.019,0.020,0.020,0.020,0.020,,
38,0.019,0.020,0.021,0.021,0.021,,
39,0.019,0.020,0.021,0.021,0.021,,
40,0.019,0.021,0.021,0.022,0.022,,
41,0.020,0.021,0.021,0.022,0.022,,
42,0.020,0.021,0.021,0.021,0.021,,
43,0.020,0.021,0.022,0.022,0.022,,
44,0.020,0.021,0.022,0.022,0.022,,
45,0.019,0.020,0.021,0.022,0.022,,
46,0.019,0.020,0.020,0.021,0.021,,
47,0.019,0.021,0.022,0.022,0.022,,
48,0.019,0.020,0.020,0.020,0.020,,
49,0.019,0.020,0.020,0.020,0.020,,
50,0.019,0.020,0.020,0.020,0.020,,
51,0.019,0.020,0.021,0.021,0.021,,
52,0.020,0.021,0.022,0.022,0.022,,
53,0.021,0.022,0.023,0.023,0.023,,
54,0.019,0.021,0.022,0.022,0.022,,
55,0.019,0.021,0.022,0.022,0.022,,
56,0.020,0.021,0.022,0.022,0.022,,
57,0.019,0.021,0.021,0.021,0.021,,
58,0.019,0.020,0.021,0.021,0.021,,
59,0.020,0.021,0.022,0.022,0.022,,
60,0.020,0.021,0.022,0.023,0.023,,
61,0.020,0.022,0.022,0.025,0.025,,
62,0.020,0.021,0.021,0.023,0.023,,
63,0.021,0.022,0.022,0.022,0.022,,
64,0.020,0.022,0.022,0.022,0.022,,
65,0.020,0.021,0.022,0.025,0.025,,
66,0.021,0.021,0.022,0.036,0.036,,
67,0.021,0.022,0.022,0.030,0.030,,
68,0.020,0.021,0.021,0.022,0.022,,
69,0.019,0.020,0.020,0.020,0.020,,
70,0.019,0.020,0.020,0.020,0.020,,
71,0.020,0.021,0.022,0.022,0.022,,
72,0.020,0.021,0.022,0.022,0.022,,
73,0.020,0.021,0.021,0.021,0.021,,
74,0.020,0.021,0.021,0.023,0.023,,
75,0.020,0.021,0.021,0.022,0.022,,
76,0.020,0.021,0.021,0.021,0.021,,
77,0.019,0.021,0.021,0.021,0.021,,
78,0.018,0.019,0.019,0.021,0.021,,
79,0.018,0.020,0.020,0.020,0.020,,
