Elapsed Time [s],PM1 [mg/m3],PM2.5 [mg/m3],PM4 [mg/m3],PM10 [mg/m3],TOTAL [mg/m3],Alarms,Errors
1,0.019,0.020,0.020,0.020,0.020,,
2,0.019,0.019,0.020,0.021,0.021,,
3,0.018,0.019,0.019,0.020,0.020,,
4,0.020,0.021,0.021,0.022,0.022,,
5,0.020,0.021,0.021,0.036,0.036,,
6,0.019,0.020,0.021,0.027,0.027,,
7,0.019,0.019,0.021,0.021,0.021,,
8,0.019,0.020,0.020,0.021,0.021,,
9,0.018,0.019,0.019,0.022,0.022,,
10,0.018,0.019,0.019,0.021,0.021,,
11,0.018,0.019,0.020,0.020,0.020,,
12,0.018,0.019,0.020,0.020,0.020,,
13,0.019,0.020,0.021,0.021,0.021,,
14,0.018,0.019,0.020,0.020,0.020,,
15,0.017,0.018,0.018,0.019,0.019,,
16,0.018,0.019,0.019,0.020,0.020,,
17,0.018,0.019,0.020,0.020,0.020,,
18,0.018,0.019,0.020,0.020,0.020,,
19,0.018,0.019,0.019,0.020,0.020,,
20,0.018,0.019,0.019,0.020,0.020,,
21,0.019,0.020,0.020,0.021,0.021,,
22,0.019,0.020,0.021,0.027,0.027,,
23,0.018,0.019,0.020,0.022,0.022,,
24,0.018,0.019,0.020,0.020,0.020,,
25,0.018,0.019,0.019,0.019,0.019,,
26,0.019,0.020,0.021,0.021,0.021,,
27,0.018,0.019,0.020,0.020,0.020,,
28,0.018,0.019,0.020,0.020,0.020,,
29,0.019,0.019,0.021,0.021,0.021,,
30,0.019,0.019,0.020,0.020,0.020,,
31,0.019,0.019,0.019,0.021,0.021,,
32,0.018,0.019,0.020,0.022,0.022,,
33,0.018,0.019,0.019,0.020,0.020,,
34,0.018,0.019,0.019,0.020,0.020,,
35,0.018,0.019,0.019,0.020,0.020,,
36,0.017,0.019,0.019,0.019,0.019,,
37,0.017,0.019,0.019,0.019,0.019,,
38,0.018,0.019,0.020,0.022,0.022,,
39,0.019,0.020,0.021,0.022,0.022,,
40,0.019,0.020,0.021,0.021,0.021,,
41,0.019,0.020,0.020,0.020,0.020,,
42,0.018,0.020,0.020,0.020,0.020,,
43,0.018,0.020,0.020,0.021,0.021,,
44,0.018,0.019,0.019,0.020,0.020,,
45,0.019,0.019,0.020,0.020,0.020,,
46,0.019,0.020,0.020,0.020,0.020,,
47,0.019,0.020,0.020,0.020,0.020,,
48,0.019,0.020,0.020,0.020,0.020,,
49,0.018,0.019,0.020,0.020,0.020,,
50,0.019,0.020,0.020,0.020,0.020,,
51,0.020,0.020,0.020,0.020,0.020,,
52,0.020,0.020,0.021,0.021,0.021,,
53,0.018,0.019,0.020,0.020,0.020,,
54,0.018,0.019,0.019,0.019,0.019,,
55,0.018,0.019,0.019,0.019,0.019,,
56,0.019,0.020,0.020,0.020,0.020,,
57,0.018,0.019,0.020,0.020,0.020,,
58,0.018,0.020,0.020,0.020,0.020,,
59,0.019,0.020,0.020,0.020,0.020,,
60,0.018,0.019,0.020,0.020,0.020,,
61,0.018,0.019,0.020,0.020,0.020,,
62,0.018,0.019,0.020,0.020,0.020,,
63,0.018,0.019,0.020,0.020,0.020,,
64,0.018,0.019,0.019,0.019,0.019,,
65,0.018,0.019,0.019,0.019,0.019,,
66,0.018,0.019,0.019,0.019,0.019,,
67,0.017,0.018,0.018,0.018,0.018,,
68,0.018,0.019,0.019,0.019,0.019,,
69,0.019,0.019,0.020,0.020,0.020,,
70,0.018,0.019,0.020,0.021,0.021,,
71,0.018,0.019,0.019,0.020,0.020,,
72,0.018,0.019,0.019,0.019,0.019,,
73,0.019,0.019,0.019,0.019,0.019,,
74,0.018,0.019,0.019,0.019,0.019,,
75,0.018,0.018,0.018,0.018,0.018,,
76,0.018,0.018,0.018,0.019,0.019,,
77,0.018,0.019,0.020,0.023,0.023,,
78,0.017,0.018,0.019,0.022,0.022,,
79,0.017,0.018,0.019,0.020,0.020,,
80,0.018,0.018,0.019,0.019,0.019,,
81,0.018,0.018,0.020,0.020,0.020,,
82,0.018,0.019,0.021,0.021,0.021,,
83,0.019,0.019,0.021,0.021,0.021,,
84,0.020,0.021,0.021,0.021,0.021,,
85,0.019,0.020,0.020,0.020,0.020,,
86,0.018,0.019,0.019,0.020,0.020,,
87,0.020,0.020,0.020,0.023,0.024,,
88,0.021,0.022,0.022,0.023,0.039,,
89,0.019,0.019,0.020,0.024,0.031,,
90,0.019,0.020,0.020,0.023,0.023,,
91,0.018,0.020,0.020,0.020,0.020,,
92,0.019,0.020,0.020,0.020,0.020,,
93,0.018,0.019,0.020,0.020,0.020,,
94,0.019,0.020,0.020,0.020,0.020,,
95,0.019,0.019,0.020,0.020,0.020,,
96,0.019,0.019,0.020,0.024,0.024,,
97,0.018,0.020,0.020,0.022,0.022,,
98,0.018,0.019,0.020,0.020,0.020,,
99,0.017,0.019,0.019,0.019,0.019,,
100,0.019,0.019,0.019,0.019,0.019,,
101,0.019,0.020,0.021,0.021,0.021,,
102,0.018,0.019,0.021,0.021,0.021,,
103,0.017,0.018,0.018,0.018,0.018,,
104,0.016,0.017,0.017,0.017,0.017,,
105,0.017,0.018,0.019,0.019,0.019,,
106,0.019,0.019,0.020,0.021,0.021,,
107,0.019,0.020,0.021,0.026,0.026,,
108,0.018,0.019,0.020,0.022,0.022,,
109,0.018,0.019,0.020,0.020,0.020,,
110,0.019,0.020,0.021,0.022,0.022,,
111,0.018,0.019,0.020,0.020,0.020,,
112,0.018,0.019,0.019,0.019,0.019,,
113,0.018,0.019,0.019,0.019,0.019,,
114,0.018,0.019,0.020,0.020,0.020,,
115,0.019,0.020,0.020,0.022,0.022,,
116,0.018,0.019,0.019,0.020,0.020,,
117,0.018,0.018,0.018,0.018,0.018,,
118,0.017,0.018,0.019,0.019,0.019,,
119,0.017,0.018,0.018,0.018,0.018,,
120,0.017,0.018,0.019,0.019,0.019,,
121,0.017,0.018,0.018,0.018,0.018,,
122,0.017,0.018,0.018,0.018,0.018,,
123,0.017,0.018,0.019,0.019,0.019,,
124,0.018,0.019,0.020,0.020,0.020,,
125,0.018,0.019,0.020,0.020,0.020,,
126,0.018,0.018,0.019,0.019,0.019,,
127,0.018,0.019,0.019,0.019,0.019,,
128,0.018,0.019,0.019,0.019,0.019,,
129,0.018,0.018,0.018,0.018,0.018,,
130,0.018,0.019,0.019,0.019,0.019,,
131,0.018,0.019,0.019,0.019,0.019,,
132,0.018,0.019,0.020,0.020,0.020,,
133,0.019,0.020,0.022,0.022,0.022,,
134,0.018,0.019,0.020,0.022,0.022,,
135,0.017,0.018,0.019,0.024,0.024,,
136,0.017,0.018,0.018,0.020,0.020,,
137,0.017,0.018,0.018,0.018,0.018,,
138,0.018,0.019,0.019,0.020,0.020,,
139,0.018,0.019,0.020,0.023,0.023,,
140,0.018,0.019,0.021,0.024,0.024,,
141,0.018,0.019,0.021,0.024,0.024,,
142,0.018,0.019,0.020,0.025,0.025,,
143,0.018,0.019,0.020,0.021,0.021,,
144,0.019,0.020,0.021,0.021,0.021,,
145,0.020,0.020,0.021,0.022,0.022,,
146,0.019,0.020,0.021,0.021,0.021,,
147,0.019,0.020,0.021,0.023,0.023,,
148,0.019,0.020,0.020,0.021,0.021,,
149,0.018,0.019,0.020,0.020,0.020,,
150,0.019,0.020,0.020,0.020,0.020,,
151,0.019,0.020,0.021,0.025,0.025,,
152,0.019,0.020,0.020,0.022,0.022,,
153,0.019,0.020,0.020,0.020,0.020,,
154,0.019,0.020,0.020,0.020,0.020,,
155,0.019,0.020,0.020,0.020,0.020,,
156,0.019,0.020,0.021,0.021,0.021,,
157,0.019,0.020,0.021,0.022,0.022,,
158,0.019,0.020,0.021,0.026,0.026,,
159,0.019,0.020,0.022,0.026,0.026,,
160,0.018,0.020,0.020,0.022,0.022,,
161,0.018,0.019,0.021,0.021,0.021,,
162,0.018,0.019,0.020,0.020,0.020,,
163,0.018,0.019,0.019,0.019,0.019,,
164,0.018,0.019,0.019,0.019,0.019,,
165,0.019,0.019,0.019,0.022,0.022,,
166,0.019,0.020,0.020,0.021,0.021,,
167,0.019,0.020,0.020,0.020,0.020,,
168,0.019,0.020,0.021,0.021,0.021,,
169,0.018,0.019,0.020,0.021,0.021,,
170,0.019,0.020,0.020,0.021,0.021,,
171,0.018,0.019,0.019,0.021,0.021,,
172,0.018,0.019,0.020,0.020,0.020,,
173,0.018,0.019,0.019,0.021,0.021,,
174,0.018,0.019,0.020,0.022,0.022,,
175,0.018,0.019,0.019,0.020,0.020,,
176,0.018,0.019,0.019,0.019,0.019,,
177,0.018,0.019,0.020,0.020,0.020,,
178,0.017,0.018,0.019,0.025,0.025,,
179,0.017,0.018,0.018,0.021,0.021,,
180,0.019,0.019,0.020,0.020,0.020,,
181,0.019,0.020,0.021,0.021,0.021,,
182,0.018,0.019,0.020,0.020,0.020,,
183,0.018,0.019,0.020,0.022,0.022,,
184,0.018,0.019,0.021,0.022,0.022,,
185,0.019,0.019,0.021,0.021,0.021,,
186,0.018,0.019,0.020,0.020,0.020,,
187,0.018,0.019,0.020,0.020,0.020,,
188,0.018,0.019,0.019,0.019,0.019,,
189,0.019,0.020,0.020,0.021,0.021,,
190,0.018,0.019,0.019,0.020,0.020,,
191,0.017,0.018,0.018,0.019,0.019,,
192,0.018,0.019,0.019,0.025,0.025,,
193,0.017,0.018,0.020,0.022,0.022,,
194,0.018,0.019,0.020,0.020,0.020,,
195,0.018,0.019,0.020,0.021,0.021,,
196,0.018,0.019,0.020,0.022,0.022,,
197,0.018,0.020,0.020,0.021,0.021,,
198,0.018,0.019,0.020,0.021,0.021,,
199,0.019,0.019,0.020,0.033,0.033,,
200,0.018,0.019,0.020,0.026,0.026,,
201,0.018,0.019,0.019,0.019,0.019,,
202,0.017,0.018,0.018,0.019,0.019,,
203,0.017,0.018,0.018,0.020,0.020,,
204,0.018,0.019,0.019,0.025,0.025,,
205,0.018,0.019,0.019,0.022,0.022,,
206,0.017,0.018,0.018,0.018,0.018,,
207,0.016,0.017,0.017,0.017,0.017,,
208,0.018,0.019,0.019,0.019,0.019,,
209,0.018,0.019,0.019,0.019,0.019,,
210,0.018,0.018,0.018,0.027,0.027,,
211,0.018,0.019,0.019,0.023,0.023,,
212,0.018,0.019,0.019,0.019,0.019,,
213,0.017,0.018,0.019,0.019,0.019,,
214,0.018,0.019,0.019,0.020,0.020,,
215,0.018,0.019,0.019,0.020,0.020,,
216,0.018,0.019,0.019,0.019,0.019,,
217,0.018,0.019,0.020,0.020,0.020,,
218,0.017,0.018,0.020,0.020,0.020,,
219,0.018,0.019,0.020,0.020,0.020,,
220,0.019,0.020,0.021,0.023,0.023,,
221,0.019,0.020,0.021,0.022,0.022,,
222,0.019,0.019,0.020,0.022,0.022,,
223,0.019,0.020,0.020,0.021,0.021,,
224,0.019,0.019,0.020,0.020,0.020,,
225,0.019,0.020,0.020,0.020,0.020,,
226,0.018,0.019,0.019,0.019,0.019,,
227,0.018,0.019,0.020,0.020,0.020,,
228,0.018,0.019,0.019,0.019,0.019,,
229,0.018,0.019,0.020,0.020,0.020,,
230,0.018,0.019,0.019,0.019,0.019,,
231,0.017,0.018,0.018,0.018,0.018,,
232,0.017,0.018,0.018,0.018,0.018,,
233,0.018,0.019,0.019,0.019,0.019,,
234,0.018,0.019,0.019,0.019,0.019,,
235,0.018,0.019,0.020,0.020,0.020,,
236,0.018,0.018,0.019,0.020,0.020,,
237,0.018,0.019,0.019,0.019,0.019,,
238,0.018,0.019,0.019,0.019,0.019,,
239,0.017,0.018,0.019,0.019,0.019,,
240,0.017,0.018,0.019,0.019,0.019,,
241,0.017,0.018,0.020,0.023,0.023,,
242,0.018,0.019,0.020,0.021,0.021,,
243,0.017,0.019,0.019,0.019,0.019,,
244,0.017,0.019,0.019,0.021,0.021,,
245,0.017,0.018,0.018,0.021,0.021,,
246,0.017,0.018,0.018,0.019,0.019,,
247,0.017,0.018,0.019,0.019,0.019,,
248,0.017,0.018,0.019,0.019,0.019,,
249,0.017,0.018,0.018,0.018,0.018,,
250,0.018,0.019,0.020,0.020,0.020,,
251,0.018,0.019,0.019,0.019,0.019,,
252,0.018,0.018,0.019,0.019,0.019,,
253,0.018,0.019,0.019,0.020,0.020,,
254,0.018,0.020,0.020,0.031,0.031,,
255,0.018,0.019,0.020,0.027,0.027,,
256,0.017,0.018,0.019,0.020,0.020,,
257,0.016,0.017,0.018,0.018,0.018,,
258,0.017,0.018,0.018,0.018,0.018,,
259,0.017,0.018,0.018,0.018,0.018,,
260,0.016,0.017,0.017,0.017,0.017,,
261,0.018,0.019,0.019,0.019,0.019,,
262,0.018,0.019,0.020,0.020,0.020,,
263,0.018,0.019,0.021,0.021,0.021,,
264,0.017,0.018,0.019,0.021,0.021,,
265,0.018,0.018,0.019,0.020,0.020,,
266,0.018,0.019,0.020,0.020,0.020,,
267,0.018,0.019,0.019,0.019,0.019,,
268,0.018,0.019,0.019,0.019,0.019,,
269,0.018,0.019,0.019,0.019,0.019,,
270,0.018,0.019,0.019,0.021,0.021,,
271,0.018,0.019,0.019,0.021,0.021,,
272,0.018,0.018,0.019,0.019,0.019,,
273,0.018,0.019,0.020,0.020,0.020,,
274,0.019,0.020,0.022,0.024,0.024,,
275,0.018,0.020,0.021,0.022,0.022,,
276,0.018,0.019,0.020,0.020,0.020,,
277,0.018,0.019,0.019,0.019,0.019,,
278,0.017,0.018,0.018,0.018,0.018,,
279,0.017,0.018,0.018,0.019,0.019,,
280,0.018,0.019,0.019,0.022,0.022,,
281,0.017,0.019,0.020,0.021,0.021,,
282,0.016,0.018,0.018,0.018,0.018,,
283,0.018,0.019,0.019,0.019,0.019,,
284,0.018,0.019,0.019,0.020,0.020,,
285,0.018,0.019,0.019,0.021,0.021,,
286,0.018,0.019,0.020,0.021,0.021,,
287,0.018,0.019,0.021,0.021,0.021,,
288,0.017,0.018,0.019,0.019,0.019,,
289,0.017,0.018,0.018,0.018,0.018,,
290,0.016,0.017,0.018,0.018,0.018,,
291,0.017,0.018,0.018,0.018,0.018,,
