MiniDeviceId,DeviceTimeStamp,Latitude,Longitude,TempC,Humidity,PM1,PM25,PM10,CO,VBat
C0556029E2C4,2021-04-15 10:36:15.000 PM,42.37988281,-71.09899139,18.64,57.08,35.43,36.91,38.85,79.53,4.054
C0556029E2C4,2021-04-15 10:36:36.000 PM,42.3799057,-71.09916687,19.16,64.65,35.64,38.33,41.47,69.27,4.04
C0556029E2C4,2021-04-15 10:36:57.000 PM,42.37992477,-71.09907532,19.22,55.67,35.32,39.38,43.89,60.88,4.031
C0556029E2C4,2021-04-15 10:37:18.000 PM,42.37995529,-71.09906769,19.42,55.95,43.17,45.27,47.92,54.01,4.027
C0556029E2C4,2021-04-15 10:37:39.000 PM,42.37986374,-71.09912109,19.42,54.16,38.86,41.55,44.72,48.28,4.037
C0556029E2C4,2021-04-15 10:38:00.000 PM,42.3799057,-71.09903717,19.66,53.76,35.23,36.7,38.62,43.42,4.028
C0556029E2C4,2021-04-15 10:38:20.000 PM,42.37995529,-71.09899139,19.66,53.62,35.52,37.01,38.95,39.37,4.033
C0556029E2C4,2021-04-15 10:38:41.000 PM,42.37990189,-71.09907532,19.66,53.68,34.55,35.99,37.88,35.97,4.04
C0556029E2C4,2021-04-15 10:39:02.000 PM,42.37987518,-71.09911346,19.69,53.5,33.69,35.09,36.93,33.08,4.028
C0556029E2C4,2021-04-15 10:39:13.000 PM,42.37986374,-71.09913635,19.78,53.16,33.27,34.66,36.47,30.64,4.042
C0556029E2C4,2021-04-15 10:39:34.000 PM,42.379879,-71.09912109,19.67,52.79,37.12,39.48,42.31,28.51,4.031
C0556029E2C4,2021-04-15 10:39:55.000 PM,42.37987518,-71.09911346,19.78,52.05,36.36,38.35,40.81,26.67,4.039
C0556029E2C4,2021-04-15 10:40:16.000 PM,42.37986374,-71.09907532,19.78,52.35,35.85,37.35,39.31,25.15,4.027
C0556029E2C4,2021-04-15 10:40:37.000 PM,42.37987518,-71.09901428,19.72,50.42,27.67,28.83,30.34,23.84,4.025
C0556029E2C4,2021-04-15 10:40:58.000 PM,42.37987518,-71.09903717,19.72,51.54,26.31,28.1,30.22,22.71,4.042
C0556029E2C4,2021-04-15 10:41:19.000 PM,42.37985992,-71.09908295,19.91,48.87,25.56,29.07,32.88,21.62,4.042
C0556029E2C4,2021-04-15 10:41:40.000 PM,42.37989044,-71.09906006,19.78,49.9,29.3,30.53,32.13,20.68,4.027
C0556029E2C4,2021-04-15 10:42:01.000 PM,42.37988663,-71.09906006,19.85,48.8,21.18,22.06,23.22,19.79,4.028
C0556029E2C4,2021-04-15 10:42:22.000 PM,42.37988663,-71.09910583,19.78,48.08,18.82,19.91,21.23,19.02,4.036
C0556029E2C4,2021-04-15 10:42:43.000 PM,42.37989426,-71.09913635,19.72,48.4,25.95,27.03,28.45,18.27,4.028
C0556029E2C4,2021-04-15 10:43:04.000 PM,42.37991333,-71.09911346,19.78,46.59,18.91,19.7,20.73,17.62,4.04
C0556029E2C4,2021-04-15 10:43:25.000 PM,42.37994766,-71.09907532,19.9,47.84,21.85,22.76,23.96,17.05,4.027
C0556029E2C4,2021-04-15 10:43:46.000 PM,42.37995148,-71.09907532,19.72,46.76,24.2,25.9,27.9,16.52,4.048
C0556029E2C4,2021-04-15 10:44:07.000 PM,42.37994003,-71.09906769,19.67,46.86,17.35,18.07,19.02,16.13,4.03
C0556029E2C4,2021-04-15 10:44:28.000 PM,42.37995911,-71.09905243,19.66,47.85,18.04,18.79,19.78,15.73,4.034
C0556029E2C4,2021-04-15 10:44:49.000 PM,42.37997055,-71.09903717,19.66,46.5,18.06,18.82,19.8,15.39,4.027
C0556029E2C4,2021-04-15 10:45:10.000 PM,42.37994766,-71.09905243,19.66,46.73,21.87,23.23,24.87,15.14,4.033
C0556029E2C4,2021-04-15 10:45:31.000 PM,42.37997437,-71.09902954,19.42,47.26,18.55,20.23,22.15,14.88,4.039
C0556029E2C4,2021-04-15 10:45:52.000 PM,42.37997055,-71.09902954,19.42,47.16,20.94,22.42,24.16,14.64,4.033
C0556029E2C4,2021-04-15 10:46:13.000 PM,42.37998962,-71.09898376,19.42,47.25,25.14,26.19,27.56,14.48,4.04
