MiniDeviceId,DeviceTimeStamp,Latitude,Longitude,TempC,Humidity,PM1,PM25,PM10,CO,VBat
5DCF85EBD7F8,2021-04-15 10:46:29.000 PM,42.37994003,-71.09887695,20.29,50.19,14.86,15.71,15.71,2.75,4.112
5DCF85EBD7F8,2021-04-15 10:46:50.000 PM,42.37983322,-71.09890747,20.32,50.02,19.84,20.98,20.98,2.77,4.131
5DCF85EBD7F8,2021-04-15 10:47:11.000 PM,42.37992096,-71.09895325,20.32,49.55,17.26,18.26,18.26,2.37,4.112
5DCF85EBD7F8,2021-04-15 10:47:32.000 PM,42.37995911,-71.09896088,20.36,49.58,18.98,20.07,20.07,2.41,4.119
5DCF85EBD7F8,2021-04-15 10:47:53.000 PM,42.38000488,-71.0989151,20.27,49.77,23.88,26.07,26.86,2.18,4.125
5DCF85EBD7F8,2021-04-15 10:48:14.000 PM,42.38003922,-71.0989151,20.27,50.76,25.92,28.14,28.85,2.48,4.121
5DCF85EBD7F8,2021-04-15 10:48:35.000 PM,42.37982178,-71.09895325,20.14,50.43,21.79,24.39,25.69,2.34,4.121
5DCF85EBD7F8,2021-04-15 10:48:56.000 PM,42.37976837,-71.0990448,20.07,50.67,25.47,26.93,26.93,2.93,4.11
5DCF85EBD7F8,2021-04-15 10:49:17.000 PM,42.37981796,-71.09899139,19.8,46.97,7.61,8.05,8.05,1.42,4.112
5DCF85EBD7F8,2021-04-15 10:49:26.000 PM,42.37983704,-71.09902191,19.64,47.86,25.4,26.86,26.86,2.16,4.116
5DCF85EBD7F8,2021-04-15 10:49:47.000 PM,42.37994385,-71.09903717,19.54,49.04,14.8,15.65,15.65,1.76,4.113
5DCF85EBD7F8,2021-04-15 10:50:08.000 PM,42.38000488,-71.09895325,19.33,46.77,15.22,19.06,21.94,0.92,4.113
5DCF85EBD7F8,2021-04-15 10:50:30.000 PM,42.3800087,-71.09898376,19.27,49.51,21.28,23.45,24.37,0.98,4.11
5DCF85EBD7F8,2021-04-15 10:50:51.000 PM,42.37999725,-71.09896088,19.14,49.6,19.09,20.18,20.18,1.12,4.113
5DCF85EBD7F8,2021-04-15 10:51:12.000 PM,42.3800354,-71.09896851,18.99,50.33,26.62,30.09,31.98,1.32,4.109
5DCF85EBD7F8,2021-04-15 10:51:33.000 PM,42.37994003,-71.09900665,18.95,49.99,13.63,14.91,15.38,0.69,4.119
5DCF85EBD7F8,2021-04-15 10:51:54.000 PM,42.37982559,-71.09906769,18.77,48.13,17.31,19.53,20.71,1.2,4.125
5DCF85EBD7F8,2021-04-15 10:52:15.000 PM,42.37989044,-71.09899902,18.64,50.71,12.95,14.44,15.17,0.18,4.112
5DCF85EBD7F8,2021-04-15 10:52:36.000 PM,42.37985611,-71.09903717,18.78,51.61,17.89,19.03,19.14,1.02,4.119
5DCF85EBD7F8,2021-04-15 10:52:57.000 PM,42.37982941,-71.09909058,18.74,51.56,22.53,23.83,23.83,0.98,4.116
5DCF85EBD7F8,2021-04-15 10:53:18.000 PM,42.37992477,-71.09900665,18.77,50.64,13.66,15.17,15.89,0.65,4.112
5DCF85EBD7F8,2021-04-15 10:53:39.000 PM,42.37989426,-71.09906769,18.64,49.89,20.64,25.59,29.25,0.09,4.112
5DCF85EBD7F8,2021-04-15 10:54:00.000 PM,42.3799057,-71.09903717,18.45,50.43,20.34,23.37,25.18,0.5,4.121
5DCF85EBD7F8,2021-04-15 10:54:21.000 PM,42.37992477,-71.09902191,18.36,51.95,11.33,11.98,11.98,0.34,4.106
5DCF85EBD7F8,2021-04-15 10:54:41.000 PM,42.37997055,-71.09896088,18.14,50.14,8.37,8.85,8.85,-0.01,4.118
5DCF85EBD7F8,2021-04-15 10:55:02.000 PM,42.38004684,-71.09883881,18.04,51.1,14.82,15.67,15.67,0.16,4.106
5DCF85EBD7F8,2021-04-15 10:55:23.000 PM,42.37996292,-71.09896088,18.14,53.91,19.46,23.34,26.03,0.6,4.112
