MiniDeviceId,DeviceTimeStamp,Latitude,Longitude,TempC,Humidity,PM1,PM25,PM10,CO,VBat
137D47B479D7,2021-04-15 10:38:11.000 PM,42.37991714,-71.09903717,19.48,58.44,35.88,37.95,38.68,8.93,4.088
137D47B479D7,2021-04-15 10:38:32.000 PM,42.37988281,-71.09902954,19.6,57.72,37.37,39.15,39.54,6.84,4.1
137D47B479D7,2021-04-15 10:38:53.000 PM,42.37991714,-71.09902191,19.66,57.2,34.65,36.64,37.34,5.49,4.104
137D47B479D7,2021-04-15 10:39:14.000 PM,42.37991333,-71.09905243,19.85,56.79,35.55,38.25,39.63,4.59,4.103
137D47B479D7,2021-04-15 10:39:35.000 PM,42.37985611,-71.0991745,19.9,55.91,29.75,31.17,31.48,4.17,4.096
137D47B479D7,2021-04-15 10:39:56.000 PM,42.37984085,-71.09916687,19.85,55.45,33.82,35.44,35.79,3.59,4.096
137D47B479D7,2021-04-15 10:40:17.000 PM,42.37983322,-71.09913635,19.97,55.19,32.27,34.99,36.51,3.51,4.102
137D47B479D7,2021-04-15 10:40:38.000 PM,42.37981033,-71.09915161,20.1,54.13,34.67,36.33,36.68,3.02,4.084
137D47B479D7,2021-04-15 10:40:59.000 PM,42.37983322,-71.09914398,20.09,52.98,23.03,24.13,24.36,2.61,4.091
137D47B479D7,2021-04-15 10:41:19.000 PM,42.37986374,-71.09914398,20.09,52.23,20.12,21.35,21.83,2.13,4.09
137D47B479D7,2021-04-15 10:41:40.000 PM,42.37984467,-71.09918213,20.29,51.08,25.46,26.67,26.94,1.18,4.087
137D47B479D7,2021-04-15 10:42:01.000 PM,42.37983704,-71.09918976,20.22,50.76,23.5,25.06,25.75,1.37,4.091
137D47B479D7,2021-04-15 10:42:22.000 PM,42.37984085,-71.09918976,20.22,50.14,19.52,20.45,20.65,1.08,4.091
137D47B479D7,2021-04-15 10:42:43.000 PM,42.37984467,-71.09918213,20.25,49.96,19.34,20.27,20.47,1.09,4.091
137D47B479D7,2021-04-15 10:43:04.000 PM,42.37986374,-71.09915161,20.14,49.61,20.17,21.13,21.34,0.68,4.088
137D47B479D7,2021-04-15 10:43:14.000 PM,42.37984848,-71.09931946,20.35,50.16,17.58,18.42,18.6,1.11,4.091
137D47B479D7,2021-04-15 10:43:35.000 PM,42.37984848,-71.09922791,20.35,48.81,17.76,20.58,22.74,0.35,4.096
137D47B479D7,2021-04-15 10:43:56.000 PM,42.37981033,-71.09925079,20.22,48.59,16.83,19.49,21.53,0.3,4.088
137D47B479D7,2021-04-15 10:44:17.000 PM,42.37981796,-71.09920502,20.34,48.5,16.93,17.79,18.02,0.35,4.082
137D47B479D7,2021-04-15 10:44:38.000 PM,42.37985229,-71.09915161,20.35,48.29,17.37,18.2,18.38,0.37,4.096
137D47B479D7,2021-04-15 10:44:59.000 PM,42.37985229,-71.09919739,20.36,48.26,18.8,21.27,23.04,0.48,4.091
137D47B479D7,2021-04-15 10:45:20.000 PM,42.37987518,-71.09918976,20.32,47.79,19.08,19.99,20.18,0.3,4.084
137D47B479D7,2021-04-15 10:45:41.000 PM,42.37987518,-71.09918976,20.29,48.06,21.32,22.81,23.5,0.24,4.091
137D47B479D7,2021-04-15 10:46:02.000 PM,42.37986755,-71.09914398,20.25,47.95,14.71,15.41,15.56,0.6,4.088
137D47B479D7,2021-04-15 10:46:22.000 PM,42.37985992,-71.09911346,20.33,48.33,19.3,22.6,25.19,0.47,4.091
137D47B479D7,2021-04-15 10:46:43.000 PM,42.37986374,-71.09910583,20.27,47.9,19.31,20.24,20.44,0.31,4.085
137D47B479D7,2021-04-15 10:47:04.000 PM,42.379879,-71.0990448,20.22,47.75,20.87,22.74,23.84,0.28,4.085
137D47B479D7,2021-04-15 10:47:26.000 PM,42.37984848,-71.09909821,20.34,47.56,12.05,12.63,12.76,0.37,4.09
137D47B479D7,2021-04-15 10:47:47.000 PM,42.37987518,-71.09906006,20.22,47.54,18.92,21.58,23.54,-0.12,4.087
137D47B479D7,2021-04-15 10:48:08.000 PM,42.37984467,-71.09910583,20.22,47.75,26.24,27.49,27.77,0.08,4.09
137D47B479D7,2021-04-15 10:48:29.000 PM,42.379879,-71.09906769,20.4,48.46,16.84,18.33,19.19,0.56,4.079
137D47B479D7,2021-04-15 10:48:50.000 PM,42.37989807,-71.09906006,20.22,48.24,19.48,20.41,20.61,0.32,4.09
137D47B479D7,2021-04-15 10:49:11.000 PM,42.37992096,-71.09903717,20.29,47.65,16.76,19.41,21.45,0.02,4.087
137D47B479D7,2021-04-15 10:49:32.000 PM,42.37992477,-71.0990448,20.13,47.42,23.62,24.75,24.99,0.09,4.082
137D47B479D7,2021-04-15 10:49:53.000 PM,42.3799324,-71.09903717,20.22,48.87,19.66,20.59,20.8,-1.5,4.078
137D47B479D7,2021-04-15 10:50:14.000 PM,42.3800087,-71.09895325,19.87,45.42,16.98,17.79,17.96,-1.94,4.084
137D47B479D7,2021-04-15 10:50:36.000 PM,42.37999725,-71.09895325,20.08,48.13,18.25,20.09,21.26,-0.77,4.082
137D47B479D7,2021-04-15 10:50:57.000 PM,42.38002777,-71.0989151,19.88,45.72,13.12,14.8,15.99,-1.5,4.081
137D47B479D7,2021-04-15 10:51:18.000 PM,42.3800354,-71.09893036,19.75,47.31,15.21,15.94,16.09,-1.84,4.096
137D47B479D7,2021-04-15 10:51:37.000 PM,42.37998962,-71.09897614,19.63,46.67,8.13,9.6,10.77,-2.76,4.076
137D47B479D7,2021-04-15 10:51:58.000 PM,42.37995911,-71.09899902,19.37,45.39,20.12,21.57,22.27,-1.88,4.094
137D47B479D7,2021-04-15 10:52:19.000 PM,42.37989044,-71.09905243,19.47,48.13,20.42,21.39,21.6,-1.35,4.082
137D47B479D7,2021-04-15 10:52:42.000 PM,42.37996292,-71.0989151,19.47,48.57,17.89,19.47,20.39,-1.2,4.099
137D47B479D7,2021-04-15 10:53:03.000 PM,42.37996292,-71.09895325,19.54,48.27,16.59,18.49,19.79,-0.83,4.093
137D47B479D7,2021-04-15 10:53:24.000 PM,42.3799057,-71.09899139,19.35,46.59,12.58,14,14.95,-1.83,4.085
137D47B479D7,2021-04-15 10:53:44.000 PM,42.37987137,-71.09901428,19.36,45.97,8.02,8.4,8.48,-3.01,4.075
137D47B479D7,2021-04-15 10:54:05.000 PM,42.37985992,-71.09899902,19.08,47.34,13.38,14.02,14.16,-2.01,4.084
137D47B479D7,2021-04-15 10:54:26.000 PM,42.37981033,-71.09903717,19.04,47.87,12.61,13.21,13.34,-2.65,4.073
137D47B479D7,2021-04-15 10:54:47.000 PM,42.37980652,-71.09906769,18.83,46.82,12.51,13.11,13.24,-2.63,4.07
137D47B479D7,2021-04-15 10:55:08.000 PM,42.37979126,-71.09909058,18.66,48.76,21.11,22.38,22.87,-1.26,4.07
137D47B479D7,2021-04-15 10:55:29.000 PM,42.37980652,-71.09909821,18.79,50.19,20.14,21.1,21.31,-2.09,4.084
137D47B479D7,2021-04-15 10:55:50.000 PM,42.37983322,-71.09911346,18.73,49.44,12.38,12.98,13.1,-1.17,4.081
137D47B479D7,2021-04-15 10:56:11.000 PM,42.37980652,-71.09914398,18.66,49.18,17.04,18.28,18.9,-2.37,4.076
137D47B479D7,2021-04-15 10:56:32.000 PM,42.37983322,-71.09911346,18.65,50,18.1,18.97,19.16,-2,4.085
137D47B479D7,2021-04-15 10:56:53.000 PM,42.37984848,-71.09909058,18.6,50.89,18.2,19.07,19.25,-1.27,4.085
137D47B479D7,2021-04-15 10:57:14.000 PM,42.37985229,-71.09910583,18.44,48.99,16.49,17.28,17.45,-1.56,4.084
137D47B479D7,2021-04-15 10:57:35.000 PM,42.37987137,-71.09910583,18.6,48.9,10.1,10.59,10.69,-2.11,4.084
137D47B479D7,2021-04-15 10:57:56.000 PM,42.37992477,-71.09909821,18.41,49.78,13.41,14.46,15.01,-1.25,4.078
137D47B479D7,2021-04-15 10:58:17.000 PM,42.37992859,-71.09909058,18.6,50,10.12,11.77,13.06,-1.67,4.082
137D47B479D7,2021-04-15 10:58:38.000 PM,42.37989807,-71.09914398,18.41,48.96,15.42,16.16,16.32,-1.92,4.084
137D47B479D7,2021-04-15 10:58:59.000 PM,42.37989807,-71.09912872,18.46,50.53,16.47,17.83,18.58,-1.77,4.079
137D47B479D7,2021-04-15 10:59:20.000 PM,42.3799324,-71.09907532,18.41,52.41,17.28,18.1,18.28,-0.68,4.084
137D47B479D7,2021-04-15 10:59:41.000 PM,42.37990952,-71.09908295,18.6,51.85,19.51,20.79,21.34,-1.08,4.078
137D47B479D7,2021-04-15 11:00:02.000 PM,42.37989044,-71.09911346,18.47,51.01,11.63,12.18,12.3,-1.59,4.085
137D47B479D7,2021-04-15 11:00:23.000 PM,42.37985229,-71.09912109,18.41,49.19,11.69,12.37,12.62,-2.16,4.076
137D47B479D7,2021-04-15 11:00:44.000 PM,42.37981796,-71.09912109,18.35,50.04,9.55,10.6,11.29,-2.21,4.079
137D47B479D7,2021-04-15 11:01:05.000 PM,42.37984848,-71.09908295,18.36,48.62,10.2,11.36,12.15,-2.66,4.064
137D47B479D7,2021-04-15 11:01:26.000 PM,42.3799057,-71.09903717,18.24,49.73,11.76,12.56,12.93,-2.59,4.079
137D47B479D7,2021-04-15 11:01:47.000 PM,42.37992477,-71.09899139,18.13,50.34,17.6,19.79,21.33,-2.96,4.076
137D47B479D7,2021-04-15 11:02:08.000 PM,42.37994003,-71.09896851,18.29,51.39,14.49,15.79,16.56,-1.95,4.075
137D47B479D7,2021-04-15 11:02:29.000 PM,42.37992477,-71.09899139,18.24,49.63,12.05,12.62,12.75,-2.28,4.079
137D47B479D7,2021-04-15 11:02:50.000 PM,42.37991714,-71.09902191,18.1,50.89,15.58,16.33,16.49,-2.19,4.067
137D47B479D7,2021-04-15 11:03:10.000 PM,42.37987137,-71.09908295,18.04,50.24,18.05,18.91,19.1,-1.55,4.067
137D47B479D7,2021-04-15 11:03:31.000 PM,42.37988663,-71.09907532,17.96,51.33,12.2,14.64,16.64,-2.42,4.078
137D47B479D7,2021-04-15 11:03:52.000 PM,42.37989044,-71.09908295,18.09,50.3,12.59,14.94,16.84,-2.54,4.07
137D47B479D7,2021-04-15 11:04:14.000 PM,42.3799324,-71.09902954,18.1,50.18,16.27,17.05,17.21,-2.18,4.076
137D47B479D7,2021-04-15 11:04:35.000 PM,42.37994003,-71.09902954,18.07,50.07,13.28,16.79,19.82,-2.76,4.078
137D47B479D7,2021-04-15 11:04:56.000 PM,42.37991333,-71.09905243,18.01,49.93,16.02,17.87,19.14,-1.94,4.063
137D47B479D7,2021-04-15 11:05:17.000 PM,42.37994385,-71.09908295,17.91,49.42,10.5,11,11.11,-3.6,4.078
137D47B479D7,2021-04-15 11:05:38.000 PM,42.3800354,-71.09897614,17.85,50.05,13.92,15.01,15.58,-2.37,4.078
137D47B479D7,2021-04-15 11:05:59.000 PM,42.38005066,-71.09893799,18.07,51.01,15.68,16.73,17.19,-1.19,4.079
137D47B479D7,2021-04-15 11:06:20.000 PM,42.38004684,-71.09896851,17.91,52.33,15.49,16.23,16.4,-1.87,4.07
137D47B479D7,2021-04-15 11:06:41.000 PM,42.37999725,-71.09903717,17.97,49.55,11.77,13.17,14.14,-2.49,4.075
137D47B479D7,2021-04-15 11:07:02.000 PM,42.37995148,-71.09901428,17.97,50.7,15.16,16.32,16.91,-2.77,4.082
137D47B479D7,2021-04-15 11:07:22.000 PM,42.37994003,-71.09903717,18.04,50.06,8.25,9.32,10.08,-3.28,4.075
137D47B479D7,2021-04-15 11:07:43.000 PM,42.3799324,-71.09901428,17.91,51.48,13.64,14.29,14.43,-2.06,4.07
137D47B479D7,2021-04-15 11:08:04.000 PM,42.37994385,-71.09897614,17.87,51.19,10.34,12.33,13.94,-2.56,4.072
137D47B479D7,2021-04-15 11:08:26.000 PM,42.37998962,-71.09899139,17.91,50.85,10.46,12.62,14.41,-2.92,4.078
137D47B479D7,2021-04-15 11:08:47.000 PM,42.3800087,-71.09899139,17.91,49.88,15.85,17.51,18.59,-3.23,4.079
137D47B479D7,2021-04-15 11:09:08.000 PM,42.37995148,-71.09900665,17.85,51.18,10.33,10.83,10.93,-2.77,4.078
137D47B479D7,2021-04-15 11:09:29.000 PM,42.37995148,-71.09899139,17.66,50.91,15.61,19.35,22.52,-2.2,4.078
137D47B479D7,2021-04-15 11:09:50.000 PM,42.3799324,-71.09897614,17.73,52.36,11.03,11.56,11.67,-2.42,4.078
137D47B479D7,2021-04-15 11:10:11.000 PM,42.37988663,-71.09899902,17.73,50.15,13.21,15.78,17.86,-2.97,4.079
137D47B479D7,2021-04-15 11:10:32.000 PM,42.37989044,-71.09899139,17.6,49.53,12.85,13.47,13.6,-3.32,4.078
137D47B479D7,2021-04-15 11:10:53.000 PM,42.37997055,-71.09896088,17.6,50.7,12.48,14.03,15.12,-3.02,4.078
137D47B479D7,2021-04-15 11:11:14.000 PM,42.37996292,-71.09893799,17.73,51.55,13.51,14.75,15.49,-2.29,4.06
137D47B479D7,2021-04-15 11:11:36.000 PM,42.38002014,-71.09895325,17.73,51.8,16.49,17.28,17.45,-1.82,4.067
137D47B479D7,2021-04-15 11:11:57.000 PM,42.3800087,-71.09898376,17.62,51.92,7.84,8.45,8.76,-2.48,4.07
137D47B479D7,2021-04-15 11:12:18.000 PM,42.37994003,-71.09899902,17.61,50.74,8.54,10.78,12.72,-3.2,4.064
137D47B479D7,2021-04-15 11:12:38.000 PM,42.37993622,-71.09899139,17.6,51.64,10.64,11.14,11.25,-2.58,4.064
137D47B479D7,2021-04-15 11:12:59.000 PM,42.37997818,-71.09898376,17.47,51.19,11.92,12.76,13.17,-3.05,4.082
137D47B479D7,2021-04-15 11:13:20.000 PM,42.38001251,-71.09893036,17.57,51.26,10.39,11.43,12.09,-2.51,4.07
137D47B479D7,2021-04-15 11:13:42.000 PM,42.38009644,-71.09888458,17.41,52.97,10.6,11.46,11.93,-1.63,4.069
137D47B479D7,2021-04-15 11:14:03.000 PM,42.38004684,-71.09890747,17.62,51.75,6.42,6.72,6.79,-2.72,4.07
137D47B479D7,2021-04-15 11:14:24.000 PM,42.37995529,-71.09897614,17.73,52.39,15.06,17.42,19.22,-1.69,4.07
137D47B479D7,2021-04-15 11:14:44.000 PM,42.37994003,-71.09899139,17.6,53.3,14.44,15.13,15.28,-2.17,4.061
137D47B479D7,2021-04-15 11:15:05.000 PM,42.37994385,-71.09899139,17.66,52.43,14.37,16.87,18.84,-1.5,4.063
137D47B479D7,2021-04-15 11:15:26.000 PM,42.37995529,-71.09899139,17.66,54.8,13.1,15.16,16.75,-1.21,4.063
137D47B479D7,2021-04-15 11:15:48.000 PM,42.37986374,-71.09905243,17.73,53.23,13.14,13.77,13.91,-1.43,4.07
137D47B479D7,2021-04-15 11:16:09.000 PM,42.37985611,-71.09906006,17.85,52.85,12.4,14.08,15.3,-1.41,4.073
137D47B479D7,2021-04-15 11:16:30.000 PM,42.37990189,-71.09903717,17.85,52.71,19.08,20.95,22.12,-1.33,4.061
137D47B479D7,2021-04-15 11:16:51.000 PM,42.37992859,-71.0990448,17.87,52.83,10.63,11.48,11.93,-1.61,4.06
137D47B479D7,2021-04-15 11:17:12.000 PM,42.37996292,-71.09899139,18.04,54.36,20.24,21.2,21.41,-0.79,4.063
137D47B479D7,2021-04-15 11:17:33.000 PM,42.37997818,-71.09899139,18.09,55.29,16.75,17.55,17.72,-0.24,4.061
137D47B479D7,2021-04-15 11:17:53.000 PM,42.37987137,-71.09902191,18.32,54.73,13.93,15.43,16.41,0.22,4.054
